provider_name,provider_url,name,address,services,price,rating,url
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Guilford House,"5918 Netfield Road, Greensboro, NC 27455","Assisted Living, Memory Care","$4,300/mo",9.3,https://www.seniorly.com/assisted-living/north-carolina/greensboro/guilford-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Alamance House,"2766 Grand Oaks Boulevard, Burlington, NC 27215","Assisted Living, Memory Care","$5,100/mo",9.1,https://www.seniorly.com/assisted-living/north-carolina/burlington/alamance-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Cherry Springs Village,"358 Clear Creek Road, Hendersonville, NC 28792",Assisted Living,"$4,800/mo",9.1,https://www.seniorly.com/assisted-living/north-carolina/hendersonville/cherry-springs-village
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Golden Pond Communities,"402 Lakeview Road, Winter Garden, FL 34787",Assisted Living,"$4,820/mo",8.9,https://www.seniorly.com/assisted-living/florida/winter-garden/golden-pond-communities
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Shelby Manor,"1176 Wyke Road, Shelby, NC 28150",Assisted Living,"$5,460/mo",8.9,https://www.seniorly.com/assisted-living/north-carolina/shelby/shelby-manor
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Rose Glen Manor,"240 Independence Avenue, North Wilkesboro, NC 28659","Assisted Living, Memory Care","$5,400/mo",8.9,https://www.seniorly.com/assisted-living/north-carolina/north-wilkesboro/rose-glen-manor
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Rose Tara Senior Living,"125 Plantation Drive, King, NC 27021",Memory Care,"$5,700/mo",8.9,https://www.seniorly.com/memory-care/north-carolina/king/rose-tara-senior-living
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,The Hermitage,"185 Brickfarm Road, Sylva, NC 28779","Assisted Living, Memory Care","$4,900/mo",9.1,https://www.seniorly.com/assisted-living/north-carolina/sylva/the-hermitage
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Verified,"951 Rose Drive, Northport, AL 35476","Assisted Living, Independent Living","$2,840/mo",9.1,https://www.seniorly.com/assisted-living/alabama/northport/the-landings-of-northport
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Verified,"1297 Galax Trail, Mount Airy, NC 27030",Assisted Living,"$4,500/mo",8.9,https://www.seniorly.com/assisted-living/north-carolina/mount-airy/twelve-oaks
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Verified,"2515 Fowler Secrest Road, Monroe, NC 28110","Assisted Living, Memory Care","$4,600/mo",8.9,https://www.seniorly.com/assisted-living/north-carolina/monroe/woodridge-assisted-living-facility
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Verified,"551 Pony Road, Zebulon, NC 27597","Assisted Living, Memory Care","$4,900/mo",9.1,https://www.seniorly.com/assisted-living/north-carolina/zebulon/zebulon-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Wellington Oaks,"3004 Dexter Avenue, Greensboro, NC 27407",Memory Care,"$4,900/mo",9.1,https://www.seniorly.com/memory-care/north-carolina/greensboro/wellington-oaks
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Currituck House,"141 Moyock Landing Drive, Moyock, NC 27958","Assisted Living, Memory Care","$5,000/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/moyock/currituck-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Caswell House,"535 US-158, Yanceyville, NC 27379","Assisted Living, Memory Care","$5,900/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/yanceyville/caswell-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Hayesville House,"480 Old Highway 64 W, Hayesville, NC 28904",Memory Care,"$4,880/mo",8.6,https://www.seniorly.com/memory-care/north-carolina/hayesville/hayesville-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Hope Springs,"104 Hope Lane, Red Springs, NC 28377",Assisted Living,"$4,500/mo",8.4,https://www.seniorly.com/assisted-living/north-carolina/red-springs/hope-springs
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Franklin House,"186 One Center Court, Franklin, NC 28734","Assisted Living, Memory Care","$2,400/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/franklin/franklin-house
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Somerset Court Of Mocksville,"150 Ken Dwiggins Drive, Mocksville, NC 27028",Assisted Living,"$4,400/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/mocksville/somerset-court-of-mocksville
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Somerset Court Of Goldsboro,"603 Lockhaven Court, Goldsboro, NC 27530",Assisted Living,"$5,850/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/goldsboro/somerset-court-of-goldsboro
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Woodhaven Court,"1930 Woodhaven Court, Albemarle, NC 28001","Assisted Living, Memory Care","$4,620/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/albemarle/woodhaven-court
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Woodhaven Court,"1930 Woodhaven Court, Albemarle, NC 28001","Assisted Living, Memory Care","$4,620/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/albemarle/woodhaven-court
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Somerset Court Of Goldsboro,"603 Lockhaven Court, Goldsboro, NC 27530",Assisted Living,"$5,850/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/goldsboro/somerset-court-of-goldsboro
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,The Gardens Of Pamlico,"22 Magnolia Way, Grantsboro, NC 28529","Assisted Living, Memory Care","$3,900/mo",8.6,https://www.seniorly.com/assisted-living/north-carolina/grantsboro/the-gardens-of-pamlico
ALG Senior 83 communities 3 (14 reviews),https://www.seniorly.com/providers/alg-senior,Golden Pond Communities,"402 Lakeview Road, Winter Garden, FL 34787",Assisted Living,"$4,820/mo",8.9,https://www.seniorly.com/assisted-living/florida/winter-garden/golden-pond-communities
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"5555 Paradise Drive, Corte Madera, CA 94925","Assisted Living, Memory Care","$6,150/mo",9.9,https://www.seniorly.com/assisted-living/california/corte-madera/aegis-living-of-corte-madera
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Best of 2025,"10000 Holman Road NW, Seattle, WA 98177","Assisted Living, Memory Care","$6,200/mo",9.9,https://www.seniorly.com/assisted-living/washington/seattle/aegis-living-greenwood
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"10801 Lindley Avenue, Granada Hills, CA 91344","Assisted Living, Memory Care, ""Warm and friendly people and environment. Supportive and informative staff. Delicious restaurant quality food and they are able to customize menus based on my husband’s vegan lifestyle. Small pets allowed and there are 5 resident parakeets in the lobby to greet visitors. My husband and I chose Aegis Living after visiting 6 facilities. Aegis provides Assisted Living and Memory Care services in ..."" - Analee","$7,000/mo",9.9,https://www.seniorly.com/assisted-living/california/granada-hills/aegis-living-granada-hills
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"4050 Walnut Avenue, Carmichael, CA 95608","Assisted Living, Memory Care","$5,000/mo",9.9,https://www.seniorly.com/assisted-living/california/carmichael/aegis-living-of-carmichael
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"1440 South Melrose Drive, Oceanside, CA 92056","Assisted Living, Memory Care","$4,599/mo",9.9,https://www.seniorly.com/assisted-living/california/oceanside/aegis-living-shadowridge
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"36281 Fremont Boulevard, Fremont, CA 94536","Assisted Living, Memory Care","$4,500/mo",9.9,https://www.seniorly.com/assisted-living/california/fremont/aegis-gardens-fremont
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"2280 Gellert Boulevard, South San Francisco, CA 94080","Assisted Living, Memory Care","$4,500/mo",9.9,https://www.seniorly.com/assisted-living/california/south-san-francisco/aegis-living-of-san-francisco
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"1660 Oak Park Boulevard, Pleasant Hill, CA 94523","Assisted Living, Memory Care","$6,450/mo",9.9,https://www.seniorly.com/assisted-living/california/pleasant-hill/aegis-living-of-pleasant-hill
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"4964 Telegraph Road, Ventura, CA 93003","Assisted Living, Memory Care","$6,975/mo",9.9,https://www.seniorly.com/assisted-living/california/ventura/aegis-living-ventura
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,Best of 2025,"Assisted Living, Memory Care","$5,130/mo",9.9,https://www.seniorly.com/assisted-living/washington/bellevue/aegis-living-bellevue
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Best of 2025,"780 Northwest Juniper Street, Issaquah, WA 98027","Assisted Living, Memory Care","$4,350/mo",9.9,https://www.seniorly.com/assisted-living/washington/issaquah/aegis-living-issaquah
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"26922 Camino de Estrella, Dana Point, CA 92624","Assisted Living, Memory Care","$5,700/mo",9.9,https://www.seniorly.com/assisted-living/california/dana-point/aegis-living-dana-point
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"3850 Walnut Avenue, Fremont, CA 94538","Assisted Living, Memory Care","$5,970/mo",9.9,https://www.seniorly.com/assisted-living/california/fremont/aegis-living-fremont
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Aegis Living Queen Anne Rodgers Park,"2900 3rd Avenue West, Seattle, WA 98119","Assisted Living, Memory Care","$3,510/mo",9.9,https://www.seniorly.com/assisted-living/washington/seattle/aegis-living-queen-anne-rodgers-park
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Aegis Living Shoreline,"14900 1st Avenue Northeast, Shoreline, WA 98155",Assisted Living,"$4,110/mo",9.9,https://www.seniorly.com/assisted-living/washington/shoreline/aegis-living-shoreline
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"125 Heather Terrace, Aptos, CA 95003","Assisted Living, Memory Care","$6,030/mo",9.9,https://www.seniorly.com/assisted-living/california/aptos/aegis-living-aptos
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"32170 Niguel Road, Laguna Niguel, CA 92677","Assisted Living, Memory Care","$6,600/mo",9.9,https://www.seniorly.com/assisted-living/california/niguel/aegis-living-laguna-niguel
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Best of 2025,"18700 44th Avenue W, Lynnwood, WA 98037","Assisted Living, Memory Care","$3,300/mo",9.9,https://www.seniorly.com/assisted-living/washington/lynnwood/aegis-living-lynnwood
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"950 Country Club Drive, Moraga, CA 94556","Assisted Living, Memory Care","$5,350/mo",9.9,https://www.seniorly.com/assisted-living/california/moraga/aegis-living-of-moraga
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Aegis Living Marymoor,"4585 West Lake Sammamish Parkway NE, Redmond, WA 98052","Assisted Living, Memory Care, ""I recently had to find an Assisted Living Community for my 84 year old Dad on short notice and I'm so glad I chose Aegis Living Marymoor. The community is warm and very friendly,with lots of smiles from the residents who are always out and about socializing. The staff are amazing, especially the manager who really cares deeply for his residents. There's a lot of activities to keep people young at ..."" -","$4,140/mo",9.9,https://www.seniorly.com/assisted-living/washington/redmond/aegis-living-marymoor
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Best of 2025,"10000 Holman Road NW, Seattle, WA 98177","Assisted Living, Memory Care","$6,200/mo",9.9,https://www.seniorly.com/assisted-living/washington/seattle/aegis-living-greenwood
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"2100 Redwood Road, Napa, CA 94558","Assisted Living, Memory Care","$4,200/mo",9.5,https://www.seniorly.com/assisted-living/california/napa/aegis-living-napa
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"5555 Paradise Drive, Corte Madera, CA 94925","Assisted Living, Memory Care","$6,150/mo",9.9,https://www.seniorly.com/assisted-living/california/corte-madera/aegis-living-of-corte-madera
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Verified,"5555 Paradise Drive, Corte Madera, CA 94925","Assisted Living, Memory Care","$6,150/mo",9.9,https://www.seniorly.com/assisted-living/california/corte-madera/aegis-living-of-corte-madera
Aegis Living 39 communities 4.1 (31 reviews),https://www.seniorly.com/providers/aegis-living,Best of 2025,"780 Northwest Juniper Street, Issaquah, WA 98027","Assisted Living, Memory Care","$4,350/mo",9.9,https://www.seniorly.com/assisted-living/washington/issaquah/aegis-living-issaquah
